news,date
이더리움 재단은 코하쿠(Kohaku) 개발이 완료됐다고 밝혔다. 코하쿠는 신뢰할 수 있는 제3자에 대한 의존도를 최소화하면서 안전하게 비공개 거래를 처리할 수 있도록 하는 프리미티브 세트다.,2025.10.10
"이더리움(Ethereum, ETH) 공동 창업자 비탈릭 부테린(Vitalik Buterin)이 스타크넷(Starknet)에서 101만 달러 상당의 에어드롭을 받으며 1년 내 두 번째 보상을 획득했다.10월 9일(현지시간) 가상자산 전문 미디어 더크립토베이직에 따르면, 이더리움 기반 레이어2 확장 솔루션 스타크넷이 부테린에게 629만 STRK 토큰을 에어드롭했다. 블록체인 분석가들은 해당 에어드롭이 2018년 1월 스타크웨어(StarkWare)의 600만 달러 시드 라운드에 대한 부테린의 초기 투자와 관련이 있다고 분석했다. 해당 투자로 부테린은 스타크웨어의 최초 후원자 중 한 명이 됐으며, 영지식증명 기술을 오랫동안 지지해 왔다.온체인 분석 플랫폼 룩온체인(Lookonchain)은 부테린과 연결된 지갑이 2024년에 약 79만 8,000달러 상당의 210만 STRK를 획득했다고 밝혔다. 부테린은 2024년 11월 6일 해당 토큰들을 바이낸스(Binance)로 전송했으며, 당시 토큰당 0.38달러에 거래됐다. 부테린은 해당 거래에 대해 공개적으로 언급하지 않았지만, 스타크넷과의 오랜 관계는 프로젝트 운영에 적극적으로 참여하기보다는 투자 기반 연결임을 시사한다.에어드롭은 스타크넷이 비트코인 스테이킹 통합이라는 새로운 이정표를 달성한 시점에 이뤄졌다. 해당 기능은 비트코인 보유자들이 플랫폼을 떠나지 않고 스타크넷에서 직접 자산을 스테이킹하고 온체인 수익을 얻을 수 있게 한다. 출시 이후 반응은 주목할 만했다. 스타크넷 팀에 따르면 총 스테이킹 자산이 1억 달러를 초과했으며, 비트코인이 전체 가치의 약 65%를 차지했다. 프로젝트 측은 소셜미디어를 통해 비트코인 스테이킹 출시만으로 총 스테이킹 자산이 일주일 만에 65% 이상 증가했다고 밝혔다.비트코인 스테이킹 출시 이후 STRK는 34% 급등해 토큰당 0.1602달러에 도달했다. 2025년 6월 23일 기록한 사상 최저가 0.0969달러 대비 65% 이상 상승했다. 코인마켓캡(CoinMarketCap) 최신 데이터에 따르면 스타크넷의 시가총액은 6억 9,429만 달러로 전 세계 가상자산 중 107위를 기록했다.부테린은 스타크넷의 STARKs 기술을 오랫동안 옹호해 왔으며, 이더리움 확장성을 위한 강력한 솔루션으로 평가했다. 2024년 2월 그는 스타크넷의 스마트 계약 기능과 영지식증명 접근 방식을 칭찬하는 상세한 리뷰를 발표했다. 이더리움 재단(Ethereum Foundation)도 2018년 7월 스타크넷 펀딩 라운드에서 1,200만 달러를 기여하며 확장 가능한 블록체인 시스템에 대한 공동 비전을 강화했다.*면책 조항: 이 기사는 투자 참고용으로 이를 근거로 한 투자 손실에 대해 책임을 지지 않습니다. 해당 내용은 정보 제공의 목적으로만 해석되어야 합니다.*",2025.10.10
